Area_ID,Latitude,Longitude,Crime_Count,Violent_Crime,Theft_Count,Assault_Count,Harassment_Count,Hour,Day,Month,Weekend,Streetlight_Count,Working_Streetlights,Broken_Streetlights,Population_Density,Footfall,Bus_Stop_Count,Metro_Distance_km,Police_Distance_km,Hospital_Distance_km,School_Count,Commercial_Area,Residential_Area,Weather,Visibility,CCTV_Count,Previous_Risk,Crime_Trend,Emergency_Calls,Risk_Level
21,12.967357323331077,80.393610722725,11,2,1,0,2,7,Wed,1,0,56,38,18,1865,3227,18,4.63,0.37,2.87,16,1,1,Cloudy,Poor,96,Low,Stable,46,Low
22,13.234493464017095,80.38593166982272,65,27,32,4,23,1,Mon,12,0,72,48,24,17027,4656,18,12.09,10.04,9.93,20,0,1,Sunny,Good,29,Medium,Decreasing,8,High
23,13.025970958929456,80.27083170812664,68,15,31,8,7,1,Sat,11,0,5,4,1,2797,4120,23,1.47,10.78,6.36,15,0,1,Sunny,Medium,32,Low,Increasing,46,High
24,13.189959368001231,80.27620403838432,36,1,12,0,1,12,Sat,11,1,23,18,5,8821,2493,15,2.09,7.49,5.84,8,0,1,Sunny,Poor,86,Medium,Stable,43,Medium
25,13.109921416426646,80.27879771202458,25,4,2,3,1,14,Wed,9,0,7,6,1,15539,626,8,14.52,9.86,5.45,12,0,1,Cloudy,Good,26,High,Decreasing,9,Medium
26,13.371644201991947,80.07956304372861,46,7,31,7,0,20,Wed,2,0,55,55,0,5712,29,23,10.26,11.4,4.92,4,1,0,Rain,Medium,53,Low,Stable,53,High
27,13.250440424702791,80.50346647679028,1,0,1,0,0,3,Fri,4,0,13,10,3,13284,4826,27,13.89,1.01,9.09,1,1,0,Sunny,Good,35,Medium,Stable,15,Low
28,12.989360823585908,80.46391018348939,51,17,13,2,15,13,Sat,11,0,11,8,3,15273,1135,29,4.36,7.77,0.68,17,1,1,Cloudy,Medium,16,Medium,Stable,18,High
29,13.243247167660131,80.39169069495873,61,17,42,12,5,12,Mon,5,0,20,19,1,21576,1324,17,7.56,0.99,9.76,7,1,0,Rain,Medium,57,Low,Increasing,35,High
30,12.904817055204312,80.33352445255709,72,12,56,0,12,10,Thu,5,1,57,45,12,14062,4293,15,4.13,2.6,9.05,8,0,1,Rain,Good,73,Low,Stable,5,High
31,13.039854282047415,80.26751503541396,16,0,13,0,0,9,Sat,1,0,80,65,15,505,599,27,13.91,4.76,9.92,14,0,1,Cloudy,Good,57,High,Increasing,9,Low
32,12.86533424828123,80.49523721063913,10,4,6,0,4,22,Fri,8,0,5,5,0,8121,4664,4,9.72,11.05,3.72,20,0,1,Fog,Poor,32,Medium,Increasing,6,Low
33,13.366124274952224,80.11502105916179,0,0,0,0,0,8,Sat,10,1,40,35,5,21621,1985,30,3.6,5.76,3.04,13,0,1,Rain,Good,90,High,Stable,12,Low
34,13.052009523277396,80.15435367328453,29,7,1,5,2,21,Wed,6,0,58,47,11,22866,3246,16,11.98,2.46,8.9,2,1,0,Fog,Good,26,Low,Stable,14,Medium
35,13.256282443803553,80.17695971031044,28,7,13,0,7,19,Tue,3,0,23,17,6,2281,1744,22,8.98,0.38,5.04,1,1,0,Fog,Medium,23,Medium,Increasing,5,Medium
36,12.911307313974806,80.56152893092393,48,11,21,7,4,23,Mon,5,0,26,25,1,594,640,3,5.34,3.43,11.47,17,1,1,Cloudy,Medium,97,Low,Stable,52,High
37,13.223153892785895,80.11742949950418,41,11,23,7,4,17,Wed,4,0,8,6,2,13961,2031,1,11.52,9.76,0.58,14,0,1,Sunny,Medium,8,High,Increasing,47,High
38,13.017784572864986,80.2009825481073,40,8,19,0,8,19,Sun,12,1,13,13,0,8163,878,12,14.36,5.75,11.45,8,1,0,Fog,Good,55,Medium,Decreasing,0,High
39,13.215265964446111,80.09078913900518,58,11,38,1,10,7,Mon,6,0,70,64,6,13334,1310,17,1.06,3.04,0.5,17,0,1,Cloudy,Medium,41,High,Stable,4,High
40,12.925004624261362,80.25263616516504,29,2,13,1,1,22,Tue,3,0,35,24,11,18147,992,8,4.48,9.38,3.42,11,1,0,Rain,Good,32,Low,Increasing,11,High
41,12.96881245918945,80.54454093684977,32,7,16,3,4,6,Fri,7,0,17,12,5,15701,303,26,7.17,1.32,9.85,14,0,1,Sunny,Medium,47,Low,Increasing,7,Medium
42,13.383779107755089,80.3499162593223,57,19,16,0,19,2,Fri,3,0,18,13,5,20034,2864,6,5.59,2.69,1.78,8,1,1,Cloudy,Good,4,Low,Stable,43,High
43,12.987317440262146,80.12204466327191,52,3,25,1,2,15,Sat,2,0,73,71,2,21899,1340,21,4.14,4.83,11.86,9,1,1,Sunny,Medium,53,Medium,Increasing,26,Medium
44,12.918320954102567,80.43681901874382,20,6,1,6,0,6,Tue,7,0,16,13,3,19433,2987,17,2.52,5.58,0.28,4,1,0,Fog,Good,82,Medium,Stable,9,Low
45,13.11269532518887,80.55529987395002,38,4,2,3,1,3,Fri,4,0,45,44,1,20411,3177,28,10.71,1.13,8.29,5,1,0,Cloudy,Poor,81,Low,Stable,53,Medium
46,12.930882126279382,80.23984734984583,15,2,3,2,0,16,Thu,6,1,29,29,0,18926,312,14,4.93,8.05,4.74,17,1,1,Rain,Poor,80,Medium,Increasing,37,Low
47,13.19530562475674,80.26807363705447,79,31,29,15,16,14,Mon,1,1,62,43,19,15517,1471,11,6.07,9.75,0.9,13,0,1,Sunny,Medium,46,Low,Decreasing,2,High
48,13.353275595904053,80.18823550989167,64,24,8,0,24,23,Wed,1,0,13,9,4,24488,897,30,14.73,2.41,5.95,5,1,1,Cloudy,Good,87,High,Stable,10,High
49,13.343037318359137,80.2738417035799,26,9,8,9,0,8,Sun,8,0,69,62,7,10955,3049,29,2.81,0.54,2.02,8,0,1,Rain,Medium,86,Low,Stable,50,Low
50,13.118432739594155,80.38179120507071,71,33,37,6,27,11,Fri,8,0,37,29,8,21136,3229,11,5.63,8.88,4.57,18,0,1,Rain,Medium,18,Low,Increasing,28,High
51,13.246156832387955,80.02897487266235,74,20,46,0,20,16,Fri,11,1,9,8,1,5394,2383,28,6.54,7.43,6.2,1,0,1,Fog,Good,16,Low,Increasing,1,High
52,13.012977544831063,80.06381759132336,74,19,37,4,15,11,Thu,7,0,31,26,5,20944,3890,22,0.31,1.99,9.64,4,0,1,Sunny,Good,57,Medium,Decreasing,55,High
53,13.286942316282868,80.58028123979939,44,19,20,18,1,1,Fri,9,0,61,42,19,17460,4037,17,13.56,3.06,0.62,0,0,1,Cloudy,Good,51,Low,Increasing,3,High
54,13.130553774491549,80.56455236463513,77,32,41,26,6,4,Thu,9,0,27,19,8,10637,522,25,0.82,3.67,10.68,15,1,1,Sunny,Medium,91,High,Decreasing,5,High
55,12.905235036727555,80.59796628701068,15,5,4,5,0,8,Sun,1,1,11,9,2,21336,4536,8,10.32,8.18,11.02,9,0,1,Cloudy,Good,82,Low,Stable,10,Low
56,13.246327198458209,80.56681873720521,49,10,38,3,7,23,Mon,4,0,53,36,17,15884,3867,13,10.49,10.09,10.3,7,1,0,Rain,Good,73,Low,Increasing,36,High
57,12.816141529881477,80.06400702724741,3,0,0,0,0,5,Mon,3,0,10,10,0,24642,382,26,8.9,0.88,4.42,17,1,0,Sunny,Poor,85,Low,Increasing,15,Low
58,12.82031637445581,80.56955087861888,80,18,30,3,15,20,Thu,11,1,21,20,1,21678,1679,11,5.11,3.6,3.21,8,1,1,Sunny,Poor,36,High,Decreasing,49,High
59,13.310826395247798,80.3709655139401,55,16,6,11,5,0,Wed,1,0,65,64,1,18125,4637,26,12.95,2.68,1.18,9,0,1,Fog,Good,21,Low,Increasing,18,High
60,13.094493796359103,80.29489045751933,44,16,8,5,11,5,Sat,10,0,41,28,13,7535,1896,2,1.74,6.03,7.67,15,1,1,Sunny,Poor,100,Medium,Stable,6,High
61,12.851703742543444,80.53306927224634,33,13,17,8,5,0,Fri,5,0,26,20,6,21168,1913,22,1.99,11.33,7.17,19,1,0,Sunny,Medium,82,High,Stable,55,High
62,13.245192351892594,80.10173032043795,74,14,8,5,9,14,Tue,5,0,64,44,20,23325,1949,26,4.09,6.14,9.08,19,1,1,Cloudy,Good,19,Medium,Increasing,10,High
63,12.955212899931439,80.57298109261124,13,1,6,0,1,3,Sat,11,1,23,19,4,24528,2436,3,3.02,5.28,7.69,8,0,1,Fog,Medium,26,Medium,Stable,0,Low
64,12.933471304925472,80.58852876707485,32,12,0,11,1,9,Thu,3,0,36,30,6,23475,4702,21,9.74,7.09,10.17,20,0,1,Cloudy,Poor,99,Medium,Increasing,41,Medium
65,12.987808566956854,80.37696616515808,51,22,22,20,2,3,Wed,4,0,25,21,4,14379,3954,21,9.36,5.52,4.97,5,1,1,Rain,Good,83,Low,Increasing,58,High
66,13.126015948733158,80.09650556616283,73,29,34,6,23,6,Thu,2,0,65,49,16,1027,3030,6,6.21,6.31,11.38,5,1,0,Sunny,Poor,50,Medium,Stable,16,High
67,12.836902296602615,80.045110975587,45,18,8,3,15,13,Tue,11,0,33,29,4,24796,3280,25,7.95,11.29,2.71,12,0,1,Cloudy,Good,59,High,Increasing,59,High
68,13.08149517465621,80.33723235005455,45,21,20,13,8,7,Mon,3,0,64,55,9,18465,1025,7,7.09,9.38,9.42,8,1,1,Fog,Poor,90,Medium,Increasing,43,High
69,13.283261943109883,80.47934776223248,41,15,15,13,2,11,Mon,5,1,15,10,5,12376,1251,26,12.83,11.15,0.78,18,1,0,Cloudy,Poor,41,Low,Increasing,42,High
70,13.193574043928054,80.15001593504041,23,7,11,2,5,3,Sun,4,0,31,25,6,18015,1375,2,10.35,7.35,11.73,17,1,0,Rain,Good,100,High,Increasing,33,Medium
71,13.063151699324974,80.5296094840034,29,13,4,7,6,17,Sat,7,1,68,51,17,2415,3967,15,2.25,5.66,5.95,5,1,1,Sunny,Good,69,Medium,Decreasing,44,High
72,12.97809046137586,80.27945710588227,9,1,5,0,1,13,Wed,11,0,7,5,2,2003,2707,24,1.5,9.72,5.86,4,1,0,Cloudy,Poor,4,High,Increasing,21,Low
73,13.004786843692662,80.46711439576241,36,13,10,6,7,17,Sat,4,0,37,29,8,2227,2368,16,12.43,3.59,4.9,8,1,0,Rain,Good,64,Medium,Increasing,21,High
74,12.979531716380585,80.35187069910504,51,23,17,12,11,20,Sat,1,1,74,56,18,2128,3264,29,0.19,3.67,2.36,15,1,0,Sunny,Poor,77,High,Decreasing,40,High
75,13.157784956140768,80.40858755595835,58,20,11,3,17,6,Wed,11,1,28,28,0,14314,824,26,9.87,10.98,4.49,4,1,1,Rain,Poor,100,Low,Stable,11,High
76,12.812235233622827,80.33979959923818,63,2,52,0,2,18,Tue,1,0,58,40,18,23297,3314,18,0.31,5.41,4.71,4,0,1,Fog,Poor,60,Medium,Decreasing,5,High
77,13.33746336766376,80.37613699294118,15,1,3,0,1,13,Sat,11,1,21,14,7,1082,2256,5,3.71,8.66,8.83,1,0,1,Cloudy,Poor,46,High,Decreasing,18,Low
78,13.098858064981908,80.4017247569517,4,0,0,0,0,8,Sun,1,0,15,12,3,10692,2559,15,2.57,8.78,10.35,19,1,1,Rain,Medium,7,Low,Increasing,43,Low
79,12.870023243263061,80.57233553817073,61,12,49,12,0,5,Thu,7,0,62,54,8,19073,2735,22,1.0,3.58,11.69,19,1,1,Sunny,Good,42,Medium,Increasing,56,High
80,13.210893175197542,80.36106924908509,0,0,0,0,0,7,Sun,5,0,59,54,5,19723,346,18,2.2,3.53,10.7,4,0,1,Fog,Medium,35,Medium,Decreasing,34,Low
81,13.029042675497074,80.4726141009488,39,19,1,12,7,23,Thu,4,0,64,58,6,8847,4803,2,11.9,9.04,5.57,17,1,1,Sunny,Good,45,Medium,Decreasing,56,High
82,13.103701209676245,80.12112177843966,37,11,18,9,2,6,Wed,3,1,50,38,12,17448,1220,27,13.85,3.03,5.97,3,0,1,Fog,Good,47,Low,Decreasing,20,High
83,12.968328846332984,80.36428198674577,62,13,16,12,1,3,Fri,10,1,40,34,6,3682,3660,8,12.3,9.23,11.57,1,1,0,Cloudy,Good,43,Low,Increasing,1,High
84,13.021779980677367,80.42334220167226,76,25,7,22,3,15,Mon,2,0,16,14,2,10943,4624,16,1.44,2.88,11.06,12,1,0,Fog,Good,23,Low,Increasing,46,High
85,13.365028211128097,80.56470044114594,6,2,4,2,0,1,Wed,1,0,66,65,1,3811,1186,23,0.19,3.88,2.47,9,0,1,Fog,Poor,75,Medium,Stable,30,Low
86,13.034028865951942,80.22498989022365,18,0,14,0,0,12,Sun,4,1,9,8,1,7727,637,4,13.01,11.21,10.68,14,0,1,Fog,Good,12,Medium,Stable,28,Medium
87,12.940329114247286,80.06936623287879,7,1,5,1,0,11,Thu,4,1,75,71,4,14884,1223,8,6.24,3.27,1.95,18,1,1,Rain,Good,37,Medium,Stable,6,Low
88,12.868500900954169,80.58717306187805,27,8,15,4,4,1,Tue,11,0,20,18,2,7106,2984,7,4.0,5.24,2.94,3,0,1,Rain,Medium,49,Medium,Decreasing,3,Medium
89,13.387178708492858,80.00961711604346,56,0,50,0,0,16,Sun,3,0,28,23,5,14762,332,4,3.35,10.95,6.9,5,0,1,Cloudy,Poor,66,Low,Decreasing,12,High
90,12.852452608448232,80.36513346164308,26,2,19,2,0,15,Sun,3,0,29,20,9,10593,1657,26,10.41,0.22,6.28,1,1,1,Rain,Medium,66,Medium,Increasing,5,Low
91,13.085968605279694,80.52320820241637,46,1,10,1,0,8,Thu,10,1,78,59,19,652,2917,3,6.74,6.29,6.24,11,1,0,Cloudy,Medium,91,High,Increasing,18,High
92,13.067863320618782,80.01538510410715,11,1,9,0,1,17,Wed,4,1,26,25,1,10720,2051,29,14.33,6.71,0.33,6,1,0,Sunny,Poor,33,Low,Stable,44,Low
93,13.321715675714193,80.43025888433593,63,17,7,3,14,1,Sat,8,1,20,17,3,4987,4436,18,12.93,7.14,1.85,14,0,1,Fog,Good,95,Medium,Decreasing,60,High
94,13.05229044674504,80.50383362294491,46,10,25,3,7,16,Tue,1,1,47,34,13,18995,2626,16,12.73,9.8,0.74,4,1,0,Rain,Good,87,High,Increasing,23,High
95,12.841558527906315,80.25982431859128,17,6,6,6,0,16,Mon,4,0,63,43,20,2032,329,21,9.66,0.51,3.26,19,0,1,Sunny,Poor,34,High,Increasing,16,Medium
96,13.06021476344758,80.57051951902845,21,1,1,1,0,9,Fri,6,1,15,12,3,19841,4373,28,6.66,11.19,6.19,9,0,1,Rain,Medium,52,High,Increasing,47,Medium
97,12.972300452767673,80.27248482082763,49,6,35,5,1,22,Sun,11,0,51,37,14,18457,2487,7,7.09,7.39,3.8,10,1,1,Cloudy,Poor,28,Low,Stable,0,High
98,13.371246943944133,80.1943715090602,27,4,1,0,4,10,Thu,5,0,25,17,8,2688,4963,12,6.66,10.47,0.84,14,0,1,Sunny,Poor,45,Low,Decreasing,43,Medium
99,13.002209465212715,80.21147251191881,35,16,3,15,1,21,Fri,10,1,39,27,12,21165,1042,17,1.64,5.02,4.98,18,0,1,Fog,Medium,15,High,Stable,26,High
100,12.86661564430399,80.5110111912442,45,9,22,6,3,22,Fri,12,0,72,55,17,20010,3149,15,0.2,7.81,8.97,12,1,0,Rain,Good,56,Medium,Decreasing,27,High
101,12.939162356054469,80.4929827924974,31,10,6,6,4,10,Fri,10,0,6,6,0,2054,2101,24,7.51,6.82,11.05,9,1,1,Fog,Poor,68,Low,Stable,29,Medium
102,13.205735850413621,80.27183900452212,29,1,13,1,0,0,Wed,9,0,69,57,12,21751,4598,13,2.4,11.15,2.34,15,1,0,Fog,Poor,51,Medium,Stable,10,Medium
103,13.387056048550102,80.49561758627279,37,10,26,8,2,16,Sun,11,1,58,53,5,17672,2375,13,3.2,9.81,10.73,5,0,1,Sunny,Medium,7,Low,Stable,44,High
104,12.801667414486738,80.42638269226565,50,3,37,0,3,17,Tue,5,1,8,8,0,6240,4078,28,8.55,9.25,10.47,17,0,1,Cloudy,Poor,65,Low,Decreasing,26,High
105,12.894062497549164,80.45569752831528,21,8,7,7,1,3,Wed,2,1,60,59,1,21802,102,7,8.72,8.25,1.81,11,1,0,Cloudy,Good,35,Low,Decreasing,54,Medium
106,12.914991680308455,80.37440169924047,74,2,56,0,2,0,Sat,7,1,35,32,3,7803,360,0,8.85,2.0,2.17,14,1,1,Fog,Poor,38,Low,Increasing,60,High
107,13.033877216316359,80.43107945435413,62,1,50,0,1,7,Mon,7,0,16,15,1,6068,2935,12,0.21,4.61,10.6,17,1,1,Sunny,Medium,46,Low,Decreasing,25,High
108,13.053366214748436,80.54779659666679,59,9,22,3,6,17,Wed,4,1,60,59,1,9646,207,2,2.42,4.16,8.5,6,1,1,Cloudy,Poor,34,Low,Increasing,53,High
109,13.011751202716573,80.43347977580943,26,4,15,4,0,12,Fri,10,0,31,28,3,15333,1072,14,14.97,11.31,7.19,18,0,1,Cloudy,Medium,47,High,Increasing,8,Medium
110,12.854881691378026,80.51111454041485,3,0,2,0,0,23,Mon,7,0,54,52,2,23262,1450,28,3.55,9.34,2.34,3,1,0,Rain,Poor,8,Medium,Decreasing,4,Low
111,12.935854893722691,80.07567954577578,51,14,8,14,0,22,Tue,6,0,40,38,2,1469,3003,13,9.99,8.19,4.28,0,1,1,Fog,Good,84,Low,Decreasing,57,High
112,12.97488588891282,80.1625329296858,5,1,0,0,1,19,Sat,12,0,60,54,6,10431,1279,20,0.68,4.63,3.8,5,1,1,Cloudy,Poor,72,High,Stable,59,Low
113,13.145165160368558,80.56140483618216,36,1,3,0,1,3,Wed,11,0,19,19,0,10938,1721,13,5.25,9.35,10.97,12,0,1,Cloudy,Medium,95,Medium,Stable,22,Medium
114,13.2149723194677,80.4431664274115,6,1,3,0,1,20,Thu,9,0,67,61,6,1931,4580,20,8.24,3.21,11.64,7,0,1,Rain,Good,69,Medium,Stable,10,Low
115,12.855523609525314,80.38190323402235,62,30,15,22,8,4,Sat,12,1,35,35,0,17388,3645,4,9.65,1.68,8.41,4,0,1,Cloudy,Medium,75,Low,Stable,35,High
116,13.199919439054092,80.35920996954728,26,1,22,1,0,14,Wed,7,0,6,5,1,16445,1691,3,13.45,0.62,3.72,9,1,1,Sunny,Good,57,Medium,Decreasing,29,Low
117,12.900857203710967,80.04309100231042,10,5,5,2,3,0,Tue,8,0,77,69,8,4065,4004,10,7.38,11.49,9.43,0,1,1,Sunny,Poor,45,Low,Increasing,41,Medium
118,13.24846896392555,80.01517582583922,47,5,40,4,1,12,Tue,5,0,26,25,1,24055,2542,26,4.97,8.93,2.3,11,0,1,Cloudy,Medium,40,Medium,Stable,35,High
119,12.834633246248602,80.06434163704606,51,1,13,1,0,20,Tue,12,0,59,44,15,24445,1290,4,9.08,11.95,7.56,7,1,0,Cloudy,Medium,20,Medium,Stable,2,High
120,12.930965157104808,80.22349364907802,54,4,18,0,4,1,Wed,9,0,12,8,4,23790,3450,30,1.03,10.7,0.2,5,1,0,Cloudy,Medium,92,High,Decreasing,28,High
121,13.140509095171463,80.28130267449487,54,17,9,12,5,17,Sat,8,0,15,15,0,24183,2715,30,4.53,7.35,6.9,11,1,0,Cloudy,Medium,61,Low,Increasing,54,High
122,13.24382976791566,80.41481555589381,71,26,23,16,10,4,Wed,6,0,35,26,9,14962,3246,6,3.49,3.21,11.63,17,1,0,Sunny,Good,95,High,Decreasing,12,High
123,13.225458808940399,80.13619412729452,14,1,13,1,0,14,Sun,10,1,14,11,3,4900,4121,3,10.75,6.65,9.11,20,1,0,Sunny,Medium,92,Medium,Decreasing,12,Low
124,12.855868939176808,80.224018529547,6,2,0,0,2,19,Sun,4,1,32,25,7,10328,987,19,6.45,8.52,10.67,6,1,0,Sunny,Poor,72,Medium,Decreasing,23,Low
125,13.258170999896846,80.40831180220088,65,22,31,1,21,8,Mon,6,1,50,47,3,12156,4496,29,9.09,4.0,0.51,7,1,0,Rain,Good,32,Medium,Decreasing,53,High
126,13.274706694577441,80.29282865871676,19,8,4,6,2,2,Sun,3,0,23,19,4,18143,2201,4,0.31,11.39,4.17,15,0,1,Fog,Good,64,High,Increasing,4,Medium
127,13.186811901686395,80.35997955974592,57,12,14,9,3,15,Wed,12,0,71,69,2,12327,2697,19,4.74,6.39,1.66,1,1,1,Cloudy,Medium,27,Medium,Stable,36,High
128,12.988615861561842,80.20130309274418,31,14,1,10,4,15,Sun,1,0,23,21,2,9434,3149,18,7.55,3.35,3.22,18,0,1,Cloudy,Poor,67,Low,Decreasing,58,Medium
129,12.919546385590577,80.25575118943945,36,7,27,2,5,18,Wed,6,0,14,12,2,11690,2970,17,9.56,6.16,4.27,12,1,1,Sunny,Poor,42,High,Stable,56,Medium
130,13.336520169273417,80.48553066060609,0,0,0,0,0,11,Tue,4,1,55,37,18,10409,1383,8,2.24,7.08,8.67,18,0,1,Rain,Good,70,High,Increasing,37,Low
131,12.982542346032622,80.21209384495376,54,23,4,15,8,14,Sun,12,0,45,40,5,9539,2109,7,11.4,6.6,7.55,0,1,0,Sunny,Medium,27,Medium,Decreasing,57,High
132,13.101149696028653,80.05974193750342,76,3,10,0,3,7,Sat,3,0,78,68,10,24060,1119,0,4.13,0.16,7.75,20,1,1,Sunny,Good,41,Low,Decreasing,55,High
133,13.091794498586586,80.36587203001513,5,0,5,0,0,10,Tue,7,1,68,49,19,13592,2105,10,13.11,11.29,0.41,18,1,1,Rain,Good,83,Low,Increasing,10,Low
134,12.926289228242599,80.31768928364153,54,11,34,10,1,2,Fri,6,0,80,63,17,5526,4928,26,3.53,6.94,7.46,15,1,1,Sunny,Poor,97,Medium,Stable,35,High
135,13.117780506346852,80.16435700266896,12,5,5,1,4,8,Sun,8,1,34,28,6,3446,228,6,1.92,7.53,6.56,17,1,0,Cloudy,Medium,99,High,Increasing,57,Low
136,13.352873980011472,80.0972479739569,31,14,15,3,11,0,Thu,12,0,49,37,12,15576,1737,23,13.56,3.95,1.38,0,1,0,Fog,Poor,8,Medium,Decreasing,14,High
137,13.344212381180212,80.22534005915351,3,1,0,1,0,21,Mon,4,0,60,53,7,8081,2902,9,11.41,2.52,7.75,15,1,0,Cloudy,Medium,27,Medium,Stable,52,Low
138,12.99891692550748,80.29133084508226,78,38,28,13,25,7,Wed,11,1,79,78,1,7375,2952,13,11.63,0.65,5.33,4,0,1,Sunny,Good,38,Low,Increasing,58,High
139,12.890481507044866,80.441609595798,50,2,26,1,1,3,Wed,8,0,55,45,10,1578,4794,1,11.9,2.89,8.3,4,1,0,Cloudy,Poor,64,Low,Increasing,46,High
140,12.83873405253249,80.06620871180503,54,0,11,0,0,15,Mon,9,0,74,70,4,21248,4468,15,1.77,6.06,4.31,2,0,1,Cloudy,Good,44,Low,Decreasing,17,Medium
141,12.958788969825227,80.04135249242034,52,25,17,11,14,1,Tue,1,1,39,39,0,11172,339,22,8.21,7.87,6.63,13,1,1,Rain,Medium,95,Medium,Stable,34,High
142,13.032246576671115,80.23124888933455,0,0,0,0,0,13,Thu,11,0,35,32,3,22239,951,22,9.35,1.13,0.5,1,1,1,Rain,Poor,51,Low,Decreasing,29,Low
143,13.247723875853396,80.51208365024898,48,7,40,6,1,16,Wed,9,0,50,48,2,13394,4311,2,9.93,3.27,9.93,20,1,1,Cloudy,Poor,69,High,Stable,58,Medium
144,13.113225979758015,80.28597092734593,67,23,33,6,17,7,Thu,2,0,72,67,5,12486,1954,5,2.37,8.12,7.98,20,1,1,Sunny,Medium,83,Low,Stable,53,High
145,12.892306643885174,80.1508890824399,66,33,19,28,5,3,Sat,11,0,16,14,2,13461,2379,15,10.46,11.96,5.45,5,0,1,Cloudy,Good,97,High,Stable,23,High
